Cert,Report_Period,Institution_Name,City,State,Class,Total_Assets,Total_Deposits
14,20230930,STATE STREET BANK AND TRUST COMPANY,BOSTON,MA,SM,280469000,158294000
35,20230930,AUBURNBANK,AUBURN,AL,SM,1030185,965903
39,20230930,ROBERTSON BANKING COMPANY,DEMOPOLIS,AL,NM,452906,402728
41,20230930,PHENIX-GIRARD BANK,PHENIX CITY,AL,NM,256781,258985
49,20230930,BANK OF EVERGREEN,EVERGREEN,AL,NM,70732,63284
50,20230930,COMMUNITY SPIRIT BANK,RED BAY,AL,NM,202247,187557
51,20230930,THE BANK OF VERNON,VERNON,AL,NM,318143,263069
52,20230930,THE CITIZENS BANK OF WINFIELD,WINFIELD,AL,NM,314329,225262
54,20230930,THE EXCHANGE BANK OF ALABAMA,ALTOONA,AL,NM,354594,316951
58,20230930,UNITED BANK,ATMORE,AL,NM,1163548,1010215
70,20230930,PEOPLES EXCHANGE BANK,MONROEVILLE,AL,NM,96348,87114
72,20230930,CENTRAL STATE BANK,CALERA,AL,SM,579541,525533
77,20230930,BANKSOUTH,DOTHAN,AL,NM,204454,164483
81,20230930,WARREN BANK AND TRUST COMPANY,WARREN,AR,SM,152055,110806
88,20230930,GENERATIONS BANK,ROGERS,AR,NM,866983,720336
89,20230930,SIGNATURE BANK OF ARKANSAS,FAYETTEVILLE,AR,SM,1087084,927420
90,20230930,COMMERCIAL BANK & TRUST COMPANY,MONTICELLO,AR,SM,247800,230526
93,20230930,RIVERSIDE BANK,SPARKMAN,AR,NM,59857,50997
94,20230930,FIRST STATE BANK OF WARREN,WARREN,AR,SM,117192,109228
99,20230930,BANK OF DELIGHT,DELIGHT,AR,NM,170242,135601
105,20230930,BANK OF CAVE CITY,CAVE CITY,AR,SM,176391,143978
107,20230930,THE MERCHANTS & PLANTERS BANK,CLARENDON,AR,NM,45573,43495
109,20230930,HORATIO STATE BANK,HORATIO,AR,NM,283441,251924
110,20230930,BANK OZK,LITTLE ROCK,AR,NM,32767328,25552856
131,20230930,SEACOAST NATIONAL BANK,STUART,FL,N,14814617,12111718
147,20230930,CENTURY BANK AND TRUST,MILLEDGEVILLE,GA,NM,343951,304787
148,20230930,BANK OF MADISON,MADISON,GA,NM,388792,354759
149,20230930,BANK OF HAZLEHURST,HAZLEHURST,GA,NM,125336,117299
155,20230930,BANK OF ALAPAHA,ALAPAHA,GA,NM,218374,204487
160,20230930,EXCHANGE BANK,MILLEDGEVILLE,GA,NM,370869,321504
169,20230930,FIRST NATIONAL BANK OF GRIFFIN,GRIFFIN,GA,N,367800,335455
170,20230930,THE PEOPLES BANK OF GEORGIA,TALBOTTON,GA,NM,166614,146306
172,20230930,UNITED BANK,ZEBULON,GA,NM,2158409,1953876
175,20230930,THE COMMERCIAL BANK,CRAWFORD,GA,NM,385490,361322
178,20230930,TALBOT STATE BANK,WOODLAND,GA,NM,54967,48189
183,20230930,THE MERCHANTS & CITIZENS BANK,MCRAE,GA,NM,124207,113317
197,20230930,ALLIANCE BANK,FRANCESVILLE,IN,NM,399012,355084
210,20230930,TRI-COUNTY BANK & TRUST COMPANY,ROACHDALE,IN,NM,289219,228416
214,20230930,WASHINGTON STATE BANK,WASHINGTON,IA,SM,548508,472016
226,20230930,GUTHRIE COUNTY STATE BANK,PANORA,IA,NM,249854,192206
228,20230930,AMERICAN STATE BANK,SIOUX CENTER,IA,NM,1305081,1106871
230,20230930,COMMUNITY STATE BANK,SPENCER,IA,NM,321600,276184
231,20230930,COMMERCIAL SAVINGS BANK,CARROLL,IA,SM,280993,241548
232,20230930,SOLON STATE BANK,SOLON,IA,NM,119172,87392
234,20230930,POCAHONTAS STATE BANK,POCAHONTAS,IA,NM,115977,86335
235,20230930,SECURITY STATE BANK,SUTHERLAND,IA,NM,348930,273390
245,20230930,RACCOON VALLEY BANK,PERRY,IA,NM,441365,398316
248,20230930,STATE SAVINGS BANK,WEST DES MOINES,IA,NM,205002,150967
251,20230930,FIRST SECURITY BANK,MAPLETON,IA,NM,70797,62703
252,20230930,PINNACLE BANK,MARSHALLTOWN,IA,SM,300844,258676
253,20230930,LUANA SAVINGS BANK,LUANA,IA,NM,2018032,1774286
254,20230930,FIRST WHITNEY BANK AND TRUST,ATLANTIC,IA,NM,266880,241637
258,20230930,STOCK YARDS BANK & TRUST COMPANY,LOUISVILLE,KY,NM,7901513,6403888
262,20230930,CITIZENS BANK,MOUNT VERNON,KY,NM,207013,177539
267,20230930,KENTUCKY FARMERS BANK CORPORATION,CATLETTSBURG,KY,NM,272895,232099
275,20230930,"MORGANTOWN BANK & TRUST COMPANY, INCORPORATED",MORGANTOWN,KY,NM,301956,264637
281,20230930,HYDEN CITIZENS BANK,HYDEN,KY,NM,141836,129428
284,20230930,AUBURN BANKING COMPANY,AUBURN,KY,NM,126005,108700
287,20230930,COMMUNITY FINANCIAL SERVICES BANK,BENTON,KY,SM,1361388,1211638
288,20230930,FARMERS & TRADERS BANK OF CAMPTON,CAMPTON,KY,NM,66640,60872
289,20230930,BANK OF HINDMAN,HINDMAN,KY,NM,254300,208839
291,20230930,JACKSON COUNTY BANK,MC KEE,KY,NM,162251,105580
292,20230930,THE MONTICELLO BANKING COMPANY,MONTICELLO,KY,SM,1178451,926603
296,20230930,BANK OF EDMONSON COUNTY,BROWNSVILLE,KY,NM,273137,241328
297,20230930,LEWISBURG BANKING COMPANY,LEWISBURG,KY,SM,177010,151312
303,20230930,UNITED CUMBERLAND BANK,WHITLEY CITY,KY,NM,379240,331802
304,20230930,CLINTON BANK,CLINTON,KY,NM,67045,55937
306,20230930,BANK OF ZACHARY,ZACHARY,LA,NM,399736,361305
307,20230930,LANDMARK BANK,CLINTON,LA,NM,193014,165885
314,20230930,THE MER ROUGE STATE BANK,MER ROUGE,LA,NM,50684,46681
321,20230930,HOLMES COUNTY BANK,LEXINGTON,MS,NM,146648,132603
324,20230930,CITIZENS BANK,COLUMBIA,MS,NM,442223,387154
327,20230930,MERCHANTS AND PLANTERS BANK,RAYMOND,MS,NM,202294,170179
340,20230930,"THE PEOPLES BANK, BILOXI, MISSISSIPPI",BILOXI,MS,NM,810028,730724
342,20230930,FARMERS STATE BANK,VICTOR,MT,SM,715004,612436
352,20230930,THE BANK OF BAKER,BAKER,MT,NM,161872,142488
358,20230930,STOCKMENS BANK,CASCADE,MT,SM,43161,38644
363,20230930,"FIRST MONTANA BANK, INC.",MISSOULA,MT,SM,563609,433965
384,20230930,THE OHIO VALLEY BANK COMPANY,GALLIPOLIS,OH,SM,1295601,1099061
389,20230930,THE PEOPLES BANK,GAMBIER,OH,NM,59621,54786
399,20230930,FIRST SUMMIT BANK,RYAN,OK,NM,26981,22864
402,20230930,SOONER STATE BANK,TUTTLE,OK,NM,319800,291336
404,20230930,THE FARMERS STATE BANK,QUINTON,OK,SM,177257,169564
406,20230930,CLEO STATE BANK,CLEO SPRINGS,OK,NM,108676,94808
414,20230930,THE STOCK EXCHANGE BANK,WOODWARD,OK,NM,291673,247812
