CERT,Bank_Name,City,ST,Acquiring_Institution,Closing_Date,Updated_Date
1802,Fayette County Bank,Saint Elmo,IL,"United Fidelity Bank, fsb",2017-05-26,2017-07-26
30003,"Guaranty Bank, (d/b/a BestBank in Georgia & Michigan) ",Milwaukee,WI,First-Citizens Bank & Trust Company,2017-05-05,2017-07-26
58302,First NBC Bank,New Orleans,LA,Whitney Bank,2017-04-28,2017-07-26
35495,Proficio Bank,Cottonwood Heights,UT,Cache Valley Bank,2017-03-03,2017-05-18
19328,Seaway Bank and Trust Company,Chicago,IL,State Bank of Texas,2017-01-27,2017-05-18
34951,Harvest Community Bank,Pennsville,NJ,First-Citizens Bank & Trust Company,2017-01-13,2017-05-18
91,Allied Bank,Mulberry,AR,Today's Bank,2016-09-23,2016-11-17
11297,The Woodbury Banking Company,Woodbury,GA,United Bank,2016-08-19,2017-06-01
35312,First CornerStone Bank,King of Prussia,PA,First-Citizens Bank & Trust Company,2016-05-06,2016-09-06
9956,Trust Company Bank,Memphis,TN,The Bank of Fayette County,2016-04-29,2016-09-06
20364,North Milwaukee State Bank,Milwaukee,WI,First-Citizens Bank & Trust Company,2016-03-11,2017-03-13
35156,Hometown National Bank,Longview,WA,Twin City Bank,2015-10-02,2016-04-13
35259,The Bank of Georgia,Peachtree City,GA,Fidelity Bank,2015-10-02,2016-10-24
34112,Premier Bank,Denver,CO,"United Fidelity Bank, fsb",2015-07-10,2016-08-17
57772,Edgebrook Bank,Chicago,IL,Republic Bank of Chicago,2015-05-08,2016-07-12
32102,Doral Bank,San Juan,PR,Banco Popular de Puerto Rico,2015-02-27,2015-05-13
33938,Capitol City Bank & Trust Company,Atlanta,GA,First-Citizens Bank & Trust Company,2015-02-13,2015-04-21
20290,Highland Community Bank,Chicago,IL,"United Fidelity Bank, fsb",2015-01-23,2015-04-21
17557,First National Bank of Crestview ,Crestview,FL,First NBC Bank,2015-01-16,2017-05-08
34983,Northern Star Bank,Mankato,MN,BankVista,2014-12-19,2016-01-06
34738,"Frontier Bank, FSB D/B/A El Paseo Bank",Palm Desert,CA,"Bank of Southern California, N.A.",2014-11-07,2016-11-10
916,The National Republic Bank of Chicago,Chicago,IL,State Bank of Texas,2014-10-24,2016-01-06
4862,NBRS Financial,Rising Sun,MD,Howard Bank,2014-10-17,2015-03-26
28462,"GreenChoice Bank, fsb",Chicago,IL,"Providence Bank, LLC",2014-07-25,2016-12-12
58125,Eastside Commercial Bank,Conyers,GA,Community & Southern Bank,2014-07-18,2016-07-11
12483,The Freedom State Bank ,Freedom,OK,Alva State Bank & Trust Company,2014-06-27,2016-03-25
21793,Valley Bank,Fort Lauderdale,FL,"Landmark Bank, National Association",2014-06-20,2015-06-29
10450,Valley Bank,Moline,IL,Great Southern Bank,2014-06-20,2015-06-26
32368,Slavie Federal Savings Bank,Bel Air,MD,"Bay Bank, FSB",2014-05-30,2016-12-12
32284,Columbia Savings Bank,Cincinnati,OH,"United Fidelity Bank, fsb",2014-05-23,2016-11-10
57866,AztecAmerica Bank ,Berwyn,IL,Republic Bank of Chicago,2014-05-16,2016-10-20
15062,Allendale County Bank,Fairfax,SC,Palmetto State Bank,2014-04-25,2014-07-18
58531,Vantage Point Bank,Horsham,PA,First Choice Bank,2014-02-28,2015-03-03
35096,"Millennium Bank, National Association ",Sterling,VA,WashingtonFirst Bank,2014-02-28,2015-03-03
34296,Syringa Bank,Boise,ID,Sunwest Bank,2014-01-31,2016-04-12
17967,The Bank of Union,El Reno,OK,BancFirst,2014-01-24,2016-03-25
5732,DuPage National Bank,West Chicago,IL,Republic Bank of Chicago,2014-01-17,2016-10-20
57431,"Texas Community Bank, National Association",The Woodlands,TX,"Spirit of Texas Bank, SSB",2013-12-13,2014-12-29
14794,Bank of Jackson County,Graceville,FL,First Federal Bank of Florida,2013-10-30,2016-10-20
14318,First National Bank also operating as The National Bank of El Paso,Edinburg,TX,PlainsCapital Bank,2013-09-13,2015-05-27
57041,The Community's Bank,Bridgeport,CT,No Acquirer,2013-09-13,2015-12-07
34707,Sunrise Bank of Arizona,Phoenix,AZ,"First Fidelity Bank, National Association",2013-08-23,2017-05-03
19849,Community South Bank,Parsons,TN,"CB&S Bank, Inc.",2013-08-23,2014-09-12
35016,Bank of Wausau,Wausau,WI,Nicolet National Bank,2013-08-09,2013-10-24
34943,First Community Bank of Southwest Florida (also operating as Community Bank of Cape Coral),Fort Myers,FL,C1 Bank,2013-08-02,2017-02-09
34789,Mountain National Bank,Sevierville,TN,"First Tennessee Bank, National Association",2013-06-07,2016-02-04
58358,1st Commerce Bank,North Las Vegas,NV,Plaza Bank,2013-06-06,2013-07-12
35386,Banks of Wisconsin d/b/a Bank of Kenosha,Kenosha,WI,"North Shore Bank, FSB",2013-05-31,2017-05-05
34527,Central Arizona Bank,Scottsdale,AZ,Western State Bank,2013-05-14,2015-12-07
58185,Sunrise Bank,Valdosta,GA,Synovus Bank,2013-05-10,2014-06-26
58701,Pisgah Community Bank,Asheville,NC,"Capital Bank, N.A.",2013-05-10,2016-08-08
21649,Douglas County Bank,Douglasville,GA,Hamilton State Bank,2013-04-26,2014-04-25
57158,Parkway Bank,Lenoir,NC,"CertusBank, National Association",2013-04-26,2016-10-20
58034,Chipola Community Bank,Marianna,FL,First Federal Bank of Florida,2013-04-19,2015-09-21
26680,Heritage Bank of North Florida,Orange Park,FL,FirstAtlantic Bank,2013-04-19,2016-08-08
29594,First Federal Bank,Lexington,KY,Your Community Bank,2013-04-19,2016-12-12
58066,Gold Canyon Bank,Gold Canyon,AZ,"First Scottsdale Bank, National Association",2013-04-05,2015-10-07
16431,Frontier Bank,LaGrange,GA,HeritageBank of the South,2013-03-08,2016-03-02
22476,Covenant Bank,Chicago,IL,Liberty Bank and Trust Company,2013-02-15,2015-09-21
57157,1st Regents Bank,Andover,MN,First Minnesota Bank,2013-01-18,2016-07-12
33997,Westside Community Bank,University Place,WA,Sunwest Bank,2013-01-11,2016-08-08
27331,Community Bank of the Ozarks,Sunrise Beach,MO,Bank of Sullivan,2012-12-14,2014-04-04
57928,Hometown Community Bank,Braselton,GA,"CertusBank, National Association",2012-11-16,2016-01-06
3731,Citizens First National Bank,Princeton,IL,Heartland Bank and Trust Company,2012-11-02,2013-11-22
35009,Heritage Bank of Florida,Lutz,FL,Centennial Bank,2012-11-02,2014-03-21
27148,NOVA Bank,Berwyn,PA,No Acquirer,2012-10-26,2013-01-24
19189,Excel Bank,Sedalia,MO,Simmons First National Bank,2012-10-19,2013-10-22
28144,First East Side Savings Bank,Tamarac,FL,Stearns Bank N.A.,2012-10-19,2016-01-06
58073,GulfSouth Private Bank,Destin,FL,SmartBank,2012-10-19,2014-03-21
20685,First United Bank,Crete,IL,"Old Plank Trail Community Bank, National Association",2012-09-28,2013-11-01
27316,Truman Bank,St. Louis,MO,Simmons First National Bank,2012-09-14,2012-12-17
35246,First Commercial Bank,Bloomington,MN,Republic Bank & Trust Company,2012-09-07,2012-12-17
28243,Waukegan Savings Bank,Waukegan,IL,First Midwest Bank,2012-08-03,2015-12-07
16240,Jasper Banking Company,Jasper,GA,Stearns Bank N.A.,2012-07-27,2014-03-21
27986,Second Federal Savings and Loan Association of Chicago,Chicago,IL,Hinsdale Bank & Trust Company,2012-07-20,2013-01-14
1361,Heartland Bank,Leawood,KS,Metcalf Bank,2012-07-20,2013-07-30
32711,First Cherokee State Bank,Woodstock,GA,Community & Southern Bank,2012-07-20,2016-06-06
57847,Georgia Trust Bank,Buford,GA,Community & Southern Bank,2012-07-20,2014-03-21
57096,The Royal Palm Bank of Florida,Naples,FL,First National Bank of the Gulf Coast,2012-07-20,2014-03-21
1056,Glasgow Savings Bank,Glasgow,MO,Regional Missouri Bank,2012-07-13,2014-08-19
19498,Montgomery Bank & Trust,Ailey,GA,Ameris Bank,2012-07-06,2014-03-21
1690,The Farmers Bank of Lynchburg,Lynchburg,TN,Clayton Bank and Trust,2012-06-15,2016-08-08
35299,Security Exchange Bank,Marietta,GA,Fidelity Bank,2012-06-15,2014-03-21
