CERT,STNAME,DOCKET,ACTIVE,ADDRESS,ASSET,CITY,COUNTY,DEP,INACTIVE,NAME,NEWCERT,ROA,ROAQ,ROE,ROEQ,ZIP
15988,New York,12905,0,18 Oakland Avenue,667225,Warwick,Orange,459174,1,The Warwick Savings Bank,30337,-0.27545058,0.44,-3.56,6.06,10990
15989,New York,0,0,216 Washington Street,,Watertown,Jefferson,,1,Jefferson Savings Bank,16034,,,,,13601
16000,New York,0,0,81 Main Street,,Dobbs Ferry,Westchester,,1,The Greenburgh Savings Bank,16044,,,,,10522
16015,New York,7908,0,451 Fifth Avenue,2353076,New York City,Kings,1627267,1,The Greater New York Savings Bank,29805,-0.326429424,-2.53,-3.87,-29.37,11215
16016,New York,7973,0,315 Wyckoff Avenue,1459617,New York City,Kings,1141265,1,"Home Savings of America, FSB-NY",15919,-0.5579954,-0.33,-3.89,-2.31,11237
16019,New York,7820,0,415 Madison Avenue,5845763,New York City,New York,4547552,1,Republic Bank for Savings National Association,19545,1.323497514,1.71,21.18,28.91,10017
16034,New York,7475,0,40 Franklin Street,4106674,Rochester,Monroe,2644134,1,The Rochester Community Savings Bank,28932,0.750805538,0.56,9.81,7.32,14604
16043,New York,0,0,One Clinton Square,1358880,Syracuse,Onondaga,1137568,1,Norstar Bank of Central NY,6938,0.751248515,1.01,9.29,12.2,13221
16057,New York,0,0,101 Mamaroneck Avenue,,Mamaroneck,Westchester,,1,Union Savings Bank of New York,16011,,,,,10543
16069,New York,0,0,415 Madison Avenue,3126842,New York City,New York,2844145,1,The Manhattan Savings Bank,16019,-0.4715001,-0.47,-5.45,-5.45,10017
16074,New York,0,0,1 Mamaroneck Avenue,415442,White Plains,Westchester,406669,1,The Home Savings Bank,16016,0.171837433,0.36,14.19,25.07,10601
16093,Texas,0,0,3800 Washington Avenue,329783,Houston,Harris,297467,1,NBC Bank - Heights,20276,-6.919868277,-6.92,-204.3,-204.3,77007
16096,Louisiana,0,0,1010 Common Street,,New Orleans,Orleans,,1,The Bank of New Orleans and Trust Company,4298,,,,,70112
16104,Illinois,0,0,611 Fifth Street,24850,Pawnee,Sangamon,22804,1,United Community Bank *Pawnee*,19459,0.538680233,0.49,7.56,6.83,62558
16106,Oklahoma,0,0,101 East Jackson Street,28063,Hugo,Choctaw,25475,1,Citizens State Bank,27476,1.380412671,1.38,17.11,17.11,74743
16107,Missouri,10515,0,365 West Main Street,108000,Park Hills,St. Francois,95275,1,Bank Star of the LeadBelt,17323,-0.087067307,-0.76,-1.04,-8.84,63601
16578,Illinois,14712,0,U.S. Route 45 South,168849,Eldorado,Saline,147713,1,Banterra Bank Group,17514,1.108948385,1.34,10.87,12.82,62930
16587,Connecticut,0,0,101 Turnpike Road,77594,Windsor Locks,Hartford,66703,1,Northern Connecticut National Bank,2545,0.685324859,0.66,12.58,11.65,6096
16616,Texas,0,0,Third Street,43846,Mabank,Kaufman,44507,1,Bank of Mabank,15206,-13.23384473,-30.06,-304.11,-1450.13,75147
16622,Iowa,0,0,Main Street,,Bode,Humboldt,,1,Bode State Bank,18536,,,,,50519
16624,Illinois,0,0,110 East Irving Park Road,541040,Roselle,Dupage,473545,1,"Harris Bank West, National Association",16571,1.465007209,1.47,18.47,18.47,60172
16650,Indiana,13747,0,180 East Morse Street,353969,Markle,Huntington,273633,1,MarkleBank,16400,0.986818923,1.14,7.52,8.59,46770
16663,Georgia,0,0,Main Street,14784,Crawfordville,Taliaferro,13137,1,The Peoples Bank,16897,0.748646421,0.78,7.77,8,30631
16665,Oregon,0,0,8414 S.W. Barbur Boulevard,,Portland,Multnomah,,1,The Multnomah Bank,2344,,,,,97219
16669,Ohio,0,0,305 North 15th Street,,Sebring,Mahoning,,1,First National Bank of Sebring,6517,,,,,44672
16676,Oregon,14473,0,101 Main Street,230315,Hermiston,Umatilla,172248,1,Banner Bank of Oregon,28489,1.284091298,1.43,10.77,11.68,97838
16683,Texas,0,0,501 North Deahl Street,80113,Borger,Hutchinson,75196,1,First National Bank of Borger,26702,0.493997925,0.49,9.84,9.84,79007
16702,Illinois,0,0,100 East Main Street,31117,Troy,Madison,28078,1,United Illinois Bank of Troy,10442,1.065178798,1.07,13.52,13.52,62294
16703,Utah,0,0,"50 West Broadway, Suite 200",1265995,Salt Lake City,Salt Lake,1065168,1,"Bank One, Utah, National Association",3618,-0.033454745,-0.33,-0.43,-4.28,84101
16714,Florida,0,0,7500 Gulf Boulevard,103456,St. Petersburg Beach,Pinellas,90541,1,First Gulf Beach Bank and Trust Company,3590,1.576422068,2.04,21.3,27.22,33736
16719,Iowa,0,0,121 North Commercial Street,18761,Eagle Grove,Wright,17173,1,Brenton State Bank,16572,0.416189783,0.19,7.13,3.17,50533
16732,Nebraska,0,0,Main Street,12474,Sargent,Custer,11321,1,Farmers State Bank,5460,0.093557617,3.37,1.26,46.24,68874
16736,Minnesota,0,0,361 2nd Avenue,10520,Echo,Yellow Medicine,9172,1,Citizens State Bank of Echo,8854,-0.371392758,-2.72,-3.15,-22.82,56237
16751,Texas,0,0,400 Block Oak And Chestnut,272709,Abilene,Taylor,206634,1,The First State Bank,27306,-7.29649735,-3.07,0,0,79604
16754,California,0,0,555 Montgomery Street,1491458,San Francisco,San Francisco,1248949,1,Bank of Canton of California,32469,1.092678476,0.97,9.04,8.1,94111
16800,Kansas,0,0,Riley Street,17197,Easton,Leavenworth,17162,1,The Easton State Bank,26756,-8.068660143,-18.6,-241.57,-740.67,66020
16811,Kansas,0,0,Main Street,3757,Elmdale,Chase,3565,1,"The Peoples Exchange Bank of Elmdale, Kansas",17104,-0.941668846,-0.94,-21.88,-21.88,66850
16819,Texas,0,0,235 West 5th Street,50497,San Juan,Hidalgo,45039,1,Texas Country Bank,23346,0.734952666,0.48,8.42,5.35,78589
16830,Tennessee,0,0,44 North 2nd Street,680731,Memphis,Shelby,547155,1,First American Bank,4956,-0.62054337,-0.12,-10,-2.14,38101
16864,Florida,0,0,500 South Boulevard,,Hastings,St. Johns,,1,Atlantic Bank of Hastings,3565,,,,,32145
16870,Connecticut,0,0,999 Bedford Street,,Stamford,Fairfield,,1,The Atlantic National Bank,2536,,,,,6905
16874,Puerto Rico,13675,0,Main Street,790307,Humacao,Humacao,582022,1,Roig Commercial Bank,16876,0.185959246,0.23,2.37,2.83,791
16896,Texas,11126,0,101 East Avenue,244502,Alpine,Brewster,215291,1,West Texas National Bank,22957,1.435799028,1.19,16.56,13.18,79830
16912,Nebraska,0,0,Main Street,11454,Western,Saline,9187,1,Nebraska State Bank,8339,1.012271573,-0.77,5.33,-4.03,68464
16928,Louisiana,0,0,609 Main Street,143994,Mamou,Evangeline,127517,1,Guaranty Bank,16546,0.51944374,-0.25,4.82,-2.32,70554
16955,Rhode Island,0,0,One Citizens Plaza,1360900,Providence,Providence,1050547,1,Citizens Trust Company,16954,1.627274853,2.03,22.12,28.5,2903
17002,Georgia,0,0,1237 Clairmont Road,,De Kalb County,Dekalb,,1,The Citizens and Southern Emory Bank,2155,,,,,30033
17004,Tennessee,0,0,West Main Street,139160,Lebanon,Wilson,125244,1,Lebanon Bank,4977,-0.240538696,-1.31,-2.78,-14.75,37087
17015,Illinois,0,0,5900 West Irving Park Road,125105,Chicago,Cook,95017,1,The Irving Bank,34967,1.105952786,0.46,8.19,2.66,60634
17026,Texas,0,0,416 Main,126929,Frisco,Collin,105209,1,Sun Bank,110,0.102589997,0.1,1.31,1.31,75034
23049,Illinois,0,0,225 Lily Cache Lane,48701,Bolingbrook,Will,43836,1,Southwest Suburban Bank,3685,1.252803203,1.13,15.53,14.75,60440
23050,Texas,0,0,3400 Highway 365,43668,Port Arthur,Jefferson,40796,1,Allied Nederland Bank,20899,0.528824988,-1.03,9.21,-17.5,77640
23054,Texas,0,0,707 East Lamar Boulevard,42246,Arlington,Tarrant,38240,1,"Commonwealth Bank - Lamar, National Association",23999,-0.182823314,-0.18,-2.27,-2.27,76010
23055,Texas,0,0,12000 Westheimer Road,66060,Houston,Harris,61603,1,"First City Bank-Westheimer, N.A.",13702,0.12642287,0.4,3.4,9.96,77242
23059,Washington,0,0,211 North First Street,51796,Mount Vernon,Skagit,47777,1,Valley Bank,22349,1.004257942,0.67,13.2,8.9,98273
23060,California,0,0,1190 Orange Avenue,80096,Coronado,San Diego,73002,1,Bank of Coronado,23743,-0.986049136,-4.95,-13.18,-68.57,92118
23062,Colorado,0,0,14505 West Colfax Avenue,15467,Jefferson County,Jefferson,13675,1,Denver West Bank and Trust,21543,0.043812981,0.18,0.4,1.57,80401
23076,Michigan,0,0,"111 South Capitol Avenue, Suite 2000",46075,Lansing,Ingham,42326,1,"Old Kent Bank of Lansing, National Association",993,1.093956973,1.37,18.05,22.74,48901
23082,Texas,0,0,2121 South Loop 256,20789,Palestine,Anderson,20360,1,The American Bank,3380,-0.071919809,-0.07,-6.43,-6.43,75801
23093,Texas,0,0,2350 Valley View Lane,48380,Farmers Branch,Dallas,47490,1,"Texas American Bank/Farmers Branch, National Association",27548,-3.206784341,-4.15,-229.44,-392.35,75234
23094,Florida,0,0,1500 South Dixie Highway,,Coral Gables,Miami-Dade,,1,First City Bank of Dade County,18002,,,,,33134
23116,Michigan,0,0,30700 Telegraph Road,10829,Bingham Farms,Oakland,9524,1,Fidelity Bank of Bingham Farms,20367,1.526573064,0.75,15.65,6.91,48010
23119,West Virginia,0,0,280 East Main Street,17593,Milton,Cabell,17780,1,Milton Tri-County Bank,15689,-6.309007873,-16.92,-430.76,-7540,25541
23135,California,0,0,"2121 Avenue Of The Stars, Ground Level",31761,Los Angeles,Los Angeles,30932,1,Maritime Bank of California,21189,-5.27350395,-5.36,-263.95,-382.09,90067
23142,Massachusetts,0,0,112 Market Street,414427,Lynn,Essex,376770,1,First Colonial Bank for Savings,32773,0.109311867,-0.13,1.36,-1.56,1903
23153,North Dakota,0,0,First Avenue And First Street,10174,Beulah,Mercer,9075,1,Security State Bank,8948,1.004496933,1.34,11.74,15.79,58523
23164,Washington,10081,0,1600 Cornwall Avenue,99220,Bellingham,Whatcom,84784,1,Whatcom State Bank,28489,-0.349475786,-2.82,-5.59,-47.66,98225
23176,Colorado,0,0,220 Dillon Mall Avenue,31566,Dillon,Summit,29830,1,"Snow Bank, National Association",22572,0.731134677,0.73,14.04,14.04,80435
23194,Louisiana,10524,0,900 Belle Terre Drive,63897,Laplace,St. John The Baptist,55870,1,"Bank of LaPlace of St. John the Baptist Parish, Louisiana",4979,-0.034828643,-5.85,-0.35,-54.61,70068
23197,California,0,0,1601 Seventh Street,41108,Sanger,Fresno,37793,1,Sequoia Community Bank,21166,-1.407352412,-5.14,-17.52,-64.77,93657
23201,Michigan,0,0,888 West Big Beaver Road,5655,Troy,Oakland,4362,1,Fidelity Bank,20367,1.595333533,1.47,9.02,8.32,48084
23205,Louisiana,0,0,13 Crothers Drive,9747,Richmond,Madison,9807,1,Madison Bank and Trust Company,19638,-6.442808674,-0.91,0,0,71282
23215,Colorado,0,0,2222 South Buckley Road,35009,Aurora,Arapahoe,29525,1,First National Bank of Arapahoe County,3011,-5.838764147,-5.84,-64.1,-64.1,80013
23223,Minnesota,0,0,320 West Broadway,30919,Forest Lake,Washington,27690,1,"First Bank Forest Lake, National Association",5199,2.171385506,2.73,23.05,28.53,55025
23232,California,0,0,74-750 Highway 111,147073,Indian Wells,Riverside,133824,1,First Community Bank of the Desert,24045,1.416521337,1.66,18.06,20.53,92210
23243,Colorado,0,0,3500 John F. Kennedy Parkway,70412,Fort Collins,Larimer,66509,1,"Norwest Bank Fort Collins-South, National Association",3011,1.058107379,0.86,21.79,20.41,80522
23249,Missouri,9291,0,Highways 65 And 32,24004,Buffalo,Dallas,21280,1,Southwest Bank of Buffalo,11464,1.06485196,1.05,14.05,14.01,65622
23262,Texas,0,0,2606 Judson Road,90055,Longview,Gregg,91439,1,Texas American Bank/Longview National Association,27548,-6.060835695,-2.44,0,0,75601
23267,Colorado,10571,0,9335 East County Line Road,19350,Englewood,Arapahoe,17255,1,Charter Bank and Trust,21840,0.009144669,-1.44,0.1,-14.17,80112
23271,South Carolina,0,0,160 Meeting Street,82861,Charleston,Charleston,76298,1,Liberty National Bank,18847,0.794466735,0.55,12.34,8.13,29402
23274,New Mexico,0,0,701 Douglas Street,48335,Las Vegas,San Miguel,46073,1,"The Bank of New Mexico, las vegas",21677,0.511822901,0.41,9.18,8.42,87701
23281,California,0,0,2655 Townsgate Road,17758,Westlake Village,Ventura,16354,1,"The Village Bank, National Association",24273,1.674390791,1.75,23.8,26.14,91361
23282,California,0,0,106 South Main Street,23227,Bishop,Inyo,22996,1,First Sierra Bank,3469,-1.96365283,-6.02,-104.88,-504.5,93514
23291,Massachusetts,7473,0,One Compass Place,4755103,New Bedford,Bristol,3326712,1,Compass Bank for Savings,29950,0.827354694,0.86,8.48,8.63,2740
23297,Massachusetts,6845,0,1441 Main Street,1647102,Springfield,Hampden,1167526,1,Springfield Institution for Savings,90209,0.692498945,-0.1,9.72,-1.44,1101
23308,California,0,0,400 North Tustin Avenue,,Santa Ana,Orange,,1,Western National Bank,22026,,,,,92705
23309,Michigan,11422,0,502 West Houghton Avenue,248949,West Branch,Ogemaw,203529,1,Firstbank - West Branch,1597,0.885691822,0.9,10.35,10.39,48661
23333,Texas,0,0,3811 Bee Cave Road,50968,Westlake Hills,Travis,48845,1,"Texas American Bank/Westlake, National Association",18070,-7.584438067,-15.9,-230.86,-480.1,78763
23348,Oklahoma,15474,0,2409 Country Club Road,73503,El Reno,Canadian,59341,1,American Heritage Bank,413,0.854776966,2.18,8.32,20.43,73036
23351,Texas,0,0,3806 Loop 306,20163,San Angelo,Tom Green,18406,1,The Central National Bank - West,5507,0.987849452,0.99,12.39,12.39,76906
23354,Texas,0,0,14500 Richmond At Highway 6,40891,Houston,Harris,39544,1,"MBank West Oaks, National Association",19456,-0.625769407,0.42,-36.43,26.95,77082
23359,Texas,0,0,7200 Interstate West,21699,Amarillo,Potter,20061,1,Security National Bank,17963,-0.365986525,-0.23,-5.76,-3.47,79120
